sample_id,sanskrit_sloka,sanskrit_prose,english_sloka,english_prose,chrf_sloka_e1,chrf_prose_e2,chrf_e1_e2,bertscore_precision,bertscore_recall,bertscore_f1
11,कर्णवन्ति हि भूतानि विशेषेण तुरङ्गमाःयूयं तस्मान्निवर्तध्वं याचनां प्रतिवेदिताः,भूतानि कर्णवन्ति हि तुरङ्गमाः विशेषेण तस्मात् याचनाम् प्रतिवेदिताः यूयम् निवर्तध्वम्,"The demons of Karnataka, especially the Turangmas, have prayed for his conversion.",The ghosts of Karnavan are the trumpeters: especially the ones who have responded to their prayers.,0.0,0.0,34.02898419978484,0.8877606,0.8926269,0.89018714
12,जटायुषो यदि भ्राता श्रुतं ते गदितं मयाआख्या हि यदि जानासि निलयं तस्य रक्षसः,ते गदितम् मया श्रुतम् जटायुषः भ्राता यदि जानासि यदि तस्य रक्षसः निलयम् आख्याहि,"If a brother hears, he will say, ""I love you"", if he knows how to protect him:","I heard him say, ""If you knew your brother, if you knew his guards, you would call him Nileyam"".",0.0,0.0,24.86240064732771,0.87776566,0.86350083,0.87057483
13,सकृत्तुप्रहरेदानींदुर्भुद्धे किंविकत्थसे ततस्त्वांमामिकामुष्टिर्नयिष्यतियमक्षयम्,दुर्भुद्धे किंविकत्थसे इदानीम् सकृत् प्रहर ततः मामिकः मुष्टिः त्वाम् यमक्षयम् नयिष्यति,"In such a way that they will be able to understand what is happening in the country, they will be able to make their mother happy.",The worst thing that can happen to you is that you can't see me again.,0.0,0.0,24.856828395373093,0.86482716,0.8602262,0.8625206
14,अथोपकार्यां जग्मुस्ते सभार्या रघुनन्दना:राजाऽप्यनुययौ पश्यंत्सर्षिसंघ स्सबान्धव:,अथ रघुनन्दना: सभार्या: उपकार्यां जग्मु: राजापि सर्षिसंघ: सबान्धव: पश्यन् अनुययौ,"At the end of the day, the world is full of joy and joy: the king, the love of his people, and the peace of his people.",At Raghunandana: सभार्या: उपकार्यां जग्मु: राजापि सर्षिसंघ: सबान्धव: पश्यन् अनुययौ,0.18642803877703212,80.81831605326543,4.349018857622051,0.8056406,0.65647095,0.7234464
15,यदि पञ्चदशे वर्षे राघवः पुनरेष्यतिजह्याद्राज्यं च कोषं च भरतो नोपलक्षयते,राघवः पञ्चदशे वर्षे पुनः एष्यति यदि भरतः राज्यं च कोषं च जह्यात् नोपलक्ष्यते,"If for fifty years Raghav returns, he fills the treasury and the treasury, and nothing is lost.",Raghavan: It will happen again in fifty years if India and the States and the Treasury are ignored.,0.0,0.0,34.02061370994004,0.87487197,0.87886155,0.8768622
16,तौ जाताश्वासौ राजपुत्रौ विदित्वा तच्चाभिज्ञानं राघवाय प्रदायदेव्या चाख्यातं सर्वमेवानुपूर्व्याद्वाचा सम्पूर्णं वायुपुत्त्र श्शशंस,वायुपुत्रः तौ राजपुत्त्रौ जाताश्वासौ विदित्वा तत् अभिज्ञानम् राघवाय प्रदाय देव्या आख्यातम् सर्वमेव सम्पूर्णम् आनुपूर्व्यात् वाचा शशंस,"They went to the princes, knowing that they had knowledge of the Lord, and that they had knowledge of all things, and that they had knowledge of all things, and that they had knowledge of all things.","The sons of the wind: they believed in the sons of kings, knowing that they had knowledge, and that they had knowledge, and that they had knowledge of all things, and that they had knowledge of all things.",0.0,0.0,77.01689667730942,0.94776887,0.92906517,0.93832386
17,प्रीतस्तेऽहं नरश्रेष्ठ करिष्यामि तव प्रियम्शिरसा धारयिष्यामि शैलराजसुतामहम्,नरश्रेष्ठ अहम् ते प्रीत: तव प्रियम् करिष्यामि अहम् शैलराजसुताम् शिरसा धारयिष्यामि,"I will love you even more, and I will keep your love-head in my hands forever.",The man I love: I will love the best of you I will wear the head of Shailrajsuut.,0.0,0.254841997961264,26.92545786654205,0.8932263,0.87296104,0.88297737
18,पुलस्त्यस्य तु तेजस्वी महर्षिर्मानसः सुतःनाम्ना स विश्रवा नाम प्रजापतिसमप्रभः,नाम्ना विश्रवा नाम प्रजापतिसमप्रभः तेजस्वी सः महर्षिः पुलस्त्यस्य मानसः सुतः,Pulstya's to the majestic Mahārisirmanas: the name of the Sūṭnamna Sa Vishrāva is the name of the प्रजापतिसमप्रभ:,Namna Vishrava nam प्रजापतिसमप्रभः तेजस्वी वह महर्षिः पुलस्त्यस्य मानसः सुतः,13.020744210934652,68.3733078333915,26.09760862888916,0.8576386,0.88084745,0.8690881
19,तेनाजय्येन मुख्येन राघवेण महात्मनाशपे ते जीवनार्हेण ब्रूहि यन्मनसेच्छासि,अजय्येन मुख्येन जीवनार्हेण महात्मना तेन राघवेण शपे मनसा यत् इच्छसि ब्रूहि,"He is the chief of the clan, the chief of the clan, the chief of the clan, the chief of the clan, the chief of the clan, the chief of the clan, the chief of the clan, and the chief of the clan.","Ajayya mainly leads the way of life, Mahatmana then raghveen swore that whatever you want will be done.",0.0,0.0,11.815670892612596,0.80856705,0.8218439,0.81515145
20,ततः कृत्वा महानादं सा वै लङ्का भयावहम्तलेन वानरश्रेष्ठं ताडयामास वेगिता,ततः सा लङ्का भयावहम् महानादम् कृत्वा वेगिता वानरश्रेष्ठम् तलेन ताडयामास,"Then she made a great noise and was terrified, and the best of the monkeys came to her.",Then she shouted a terrific loud noise and ran faster than the monkeys.,0.0,0.0,47.07720411952639,0.9190253,0.92637146,0.9226838
21,वर्तमानेतदाघोरेसङ्ग्रामेभृशदारुणे इन्द्रजित्तुरथंत्यक्त्वाहताश्वोहतसारथिः अङ्गदेनमहामायस्तत्रैवान्तरधीयत,तदा घोरे भृशदारुणे सङ्ग्रामे अङ्गदेन हताश्वः हतसारथिः महामायः इन्द्रजित्तु तत्स्रैव अन्तरधीयत,"Currently, there is a ghetto in the temple, and there is a shrine in the temple of Indrajitruthanthatya, which is the same as the temple of God.",Then the horses of the Bhrushdaruane Sangram were part of the Hathavshva: Hathasarathy: MahaMaya: Indrajittu and Thasravya Interadhyat.,0.0,0.0,21.619252124982882,0.8580566,0.80715686,0.83182883
22,तस्मैदृढतनुःक्रुद्धोहताश्वायविभीषणः वज्रस्पर्शसमान् पञ्चससर्जोरसिसायकान्,दृढतनुः विभीषणः हताश्वाय तस्मै क्रुद्धः उरसि वज्रस्पर्शमान् पञ्च सायकान् ससर्ज,"His appearance: Anger, rage, and fear: the vibrations of the five surgeons.",Strength: Vishwanathan: Hataashvay and his anger: Urshi Vajrasamshaman and the five Saikhan Sasarj,0.0,0.0,16.735744790524354,0.88699543,0.79345375,0.83762103
23,मणिरत्नं सुवर्णं वा गावो यद्वा समुद्यतम्तत्प्रयच्छ नरश्रेष्ठ धरण्या न प्रयोजनम्,नरश्रेष्ठ मणिरत्नम् सुवर्णं वा गाव: यद्वा समुद्यतम् तत् प्रयच्छ धरण्या प्रयोजनं न,Maniratnam gold or villages or seas are not for the purpose of holding the best of the best.,"Manirattnam gold, gold, or village: not for the purpose of attempting to destroy it.",0.0,0.23540489642184556,53.223098668233824,0.90792817,0.9153422,0.91162014
24,विभीषणोऽपिधर्मात्मासहतैर्नैरृतर्षभैः लब्ध्वाकुलधनंराजालङ्कांप्रायान् महायशाः,धर्मात्मा महायशाः राजा विभीषणः कुलधनम् लब्ध्वा तैः नैरृतर्षभैः लङ्काम् प्रायात्,There is also a great deal of devotion and devotion to the Holy Spirit.,Dharma Mahāyāsha: Raja Vibhīṇa: The total wealth was given to them by the narrators.,0.0,0.0,15.281297294113823,0.87743783,0.8032007,0.8386797
25,निहतस्य मया सङ्ख्ये शरसंकृत्तमर्मणःसफेनं रुधिरं रक्तं मेदिनी कस्य पास्यति,मया सङ्ख्ये निहतस्य शरसंकृत्तमर्मणः कस्य सफेनम् रक्तम् रुधिरम् मेदिनी पास्यति,The number of injuries I have suffered is shrouded in mystery: who will find the blood in the midst of me?,"My number is in the blood of the dead, and whoever finds blood in the midst of me will find it pure.",0.0,0.0,46.66857642041597,0.8938646,0.8991217,0.89648545
26,यदिदं लोकविद्विष्टमुदाहरथ सङ्गताः नैतन्मनसि वाक्यं मे किल्बिषं प्रतिभाति वः,सङ्गताः लोकविद्विष्टम् यत् इदम् मे वाक्यम् उदाहरथ एतत् वः मनसि किल्बिषम् न प्रतिभाति,If there is a lot of knowledge about the subject of folklore in the following words:,SONGHA: Folklore that this is an example of a sentence is that it does not reflect what is in the mind.,0.0,0.0,20.409694166177275,0.8599501,0.84268194,0.8512285
27,तत्सुभीमंमहायुद्धंहरिराक्षससङ्कुलम् प्रबभौशब्दबहुलंशिलापादपसङ्कुलम्,सुभीमम् हरिराक्षससङ्कुलम् शिलापादमसङ्कुलम् शब्दबहुलम् महत् तत् युद्धम् प्रबभौ,"At the same time, the Great War and the Great War were a complex problem.",Subhimam harirakshasankhulam shilapadamsankhulam wordbahulam very important that the war was fought.,0.0,0.0,11.991200263582822,0.8780861,0.76273644,0.8163567
28,स पुत्रान् सम्परिष्वज्यभूषयित्वा च भूषणैः आशीर्भिश्चप्रशस्ताभिःप्रेषयामाससम्युगे,सः पुत्रान् सम्परिष्वज्य भूषणैः भूषयित्वा च प्रशस्ताभिः आशीर्भिः सम्युगे प्रेषयामास,He sent his sons to be with the family and to be blessed and loved.,"He sent his sons to his family, and blessed them with abundant blessings.",0.0,0.0,46.00773919008914,0.9147419,0.92257184,0.9186402
29,शरत्कालं प्रतीक्षिष्ये स्थितोऽस्मि वचने तवसुग्रीवस्य नदीनां च प्रसादमनुपालयन्,सुग्रीवस्य नदीनां च प्रसादम् अनुपालयन् शरत्कालम् प्रतीक्षिष्ये तव वचने स्थितः अस्मि,"We are waiting for the end of time, and the rivers and streams of Tavsugreev have prevailed.",The rivers of Sugriva and Prasadam comply with your word and await the autumn.,0.0,0.0,26.18214140591016,0.87252223,0.8560085,0.8641865
30,पश्यन्निव च तां सीतामपश्यन्मदनार्दितःउवाच राघवो वाक्यं विलापाश्रयदुर्वचम्,मदनार्दितः राघवः ताम् सीताम् अपश्यन् पश्यन्निव विलापाश्रयदुर्वचम् वाक्यम् उवाच,"Pashanniv and she satam saw him in the middle of the night, and they were furious.",Madhanardit: Raghavan: They have seen the sight of a wretched wretch.,0.0,0.0,20.5388486550473,0.8486794,0.8529934,0.850831
31,हीनवीर्यमिवाशक्तंपौरुषेणविवर्जितम् भीरुंलघुमिवासत्त्वंविहीनमिवतेजसा विमुक्तमिवमायाभिरस्त्रैरिवबहिष्कृतम् मामवज्ञायदुर्बुद्धेस्वयाबुद्ध्याविचेष्टसे,दुर्बुद्धे अशक्तम् पौरुषेय विवर्जितम् हीनवीर्यमिव भीरुम् असत्त्वम् लघुमिव तेजसा विहीनमिव मायाभिः विमुमिव अस्त्रै: बहिष्कृतम् इव माम् अवज्ञाय स्वया बुद्ध्या विचेष्टसे,"The power of the mind is the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, the power of the mind, and the power of the mind.",Durbudhe Abashaem masculine distorted from heinviryamiv bhirum asātam smallmiv tejasā vihinimiv mayavil vimumiv asrāy: excluded evam me avogānaya svayaḥtya vicheṣṭase,0.0,0.11353315168029066,8.997977468839103,0.7446409,0.7018664,0.7226212
32,स वृद्धस्तरुणीं भार्यां प्राणेभ्योपि गरीयसीम् अपापः पापसङ्कल्पां ददर्श धरणीतलेलतामिव विनिष्कृत्तां पतितां देवतामिव किन्नरीमिव निर्धूतां च्युतामप्सरसं यथामायामिव परिभ्रष्टां हरिणीमिव संयताम्,वृद्ध: अपाप: स: तरुणीम् प्राणेभ्योऽपि गरीयसीम् पापसङ्कल्पाम् विनिष्कृत्ताम् लतामिव पतिताम् देवतामिव निर्धूताम् किन्नरीमिव च्युताम् अप्सरसं यथा परिभ्रष्टाम् मायामिव संयताम् हरिणीमिव भार्याम् ददर्श,"The elderly women, the women of old age, the animals, the poor, the unjust, the sinners, the demons, the earth, and all that is special about them, their husbands, their goddesses, their children, their uncleanness, their chastity, as they are corrupted, their pride, and their self-control.",Older: Apap: S: Young women from the animals too poor to sin sinful conception. Discrete: Lataimiv Husbandtum Devatimiv Nirdhutum KinnariMiv Chutum Apsaras as the corrupt Mayaimiv Conduct HariniMiv Bharyaam Dasar,0.0,0.2759381898454746,23.990836762565014,0.8105165,0.7677177,0.7885368
33,विचालयेयुश्शैलेन्द्रान्भेदयेयुस्स्थिरान्द्रुमान्क्षोभयेयुश्च वेगेन समुद्रं सरितां पतिम्,शैलेन्द्रान् विचालयेयु: स्थिरान् द्रुमान् भेदयेयु: वेगेन सरितां पतिम् समुद्रम् क्षोभयेयु:,The difference between you and your balance and difference between you and your husband is stable and healthy and you are vegan and you are at sea with your husband.,Shalendran Vishalyeu: stable and fast divideryeu: Vegan Sarita husbandim sea nam angryyeu:,0.0,0.6313131313131313,27.473619889180444,0.82738745,0.7782549,0.8020695
34,तस्य लाङ्गूलमाविद्धमात्तवेगस्य पृष्ठतःददृशे गरुडेनेव ह्रियमाणो महोरगः,आत्तवेगस्य तस्य पृष्ठतः अविद्धम् लाङ्गूलम् गरुडेन ह्रियमाणः महोरगः इव ददृशे,"In the background of his longing against his mother-in-law, Garudenev Hryamano Mahorog can be seen:","Attached to his back, he saw an undead long-tailed eagle, a human-like creature.",0.0,0.0,20.225269705094618,0.81235456,0.8404819,0.8261789
35,सम्यक् प्रतिगृहीतश्च मुनिना तेन राघवःन्यवसत्तां निशामेकां प्राश्य मूलफलानि च,राघवः तेन मुनिना सम्यक् प्रतिगृहीतः मूलफलानि प्राश्य ताम् एकाम् निशाम् न्यवसत्,"They are collected and repaid in the form of wages and salaries: real estate, equity and capital gains.","Raghavan: In their own words, they have taken home the original fruit and have given it to them as a sign.",0.0,0.0,17.134553457135162,0.83385515,0.8515107,0.8425904
36,समावृत्य महीं कृत्स्नां जगाम महती चमूः तेहृष्टवदना स्सर्वे जग्मुर्मारुतरंहसः,महती चमूः कृत्स्नाम् महीम् समावृत्य जगाम मारुतरंहसः ते सर्वे हृष्टवदनाः जग्मु,"In the meantime, I have done my work in the world, and there is a tremendous amount of pain.",Mahti Chamu: Krishnam Mahimavarthi Samvarthi Jagam Marutaranhas: and they are all very happy.,0.0,0.0,15.2057073680915,0.8634498,0.78008103,0.81965095
37,गुहाश्च विचितास्सर्वास्त्वया याः परिकीर्तिताःविचिताश्च महागुल्मा लताविततसन्तताः,सर्वाः त्वया परिकीर्तिताः याः गुहाः विचिताः लताविततसन्तताः महागुल्माः विचिताः,"The cavities and cavities are all things, and the cavities and cavities are all things, and the cavities and cavities are all things.","Everyone is focused on you: the cavities, the desolations, the laziness, the bigotry, the sadness.",0.0,0.0,23.02524275812835,0.8337266,0.84384507,0.83875537
38,प्रचचालचवेगेनत्रस्ताचैववसुन्धरा पीड्यमानाबलौघेनतेनसागरवर्चसा,सागरवर्चसा तेन बलौघेन पीड्यमाना वसुन्धरा वेगेन त्रस्ता प्रचचाल,The waves of overwhelming flooded the sea and the waters of the sea.,Sagarvarchsa then suffered greatly from the suffering of Vasundhara Vegan who suffered greatly.,0.0,0.0,15.32820147815784,0.86615825,0.82888114,0.8471098
39,अयोध्याधिपते वीर वैदेहो मिथिलाधिप: स त्वां द्रष्टुं व्यवसितस्सोपाध्यायपुरोहितम्,वीर अयोध्याधिपते मिथिलाधिप: वैदेह: सोपाध्यायपुरोहितम् त्वाम् द्रष्टुम् सः व्यवसित:,Ayodhyapatte Veer Vedeho Mithilaadhip: He sees you as a law-abiding priest.,Vir Ayodhyapatipatte मिथिलाधिप: Vedhe: Sopaadhiyaprastram sawthum that he has regulated:,0.25100401606425704,10.315003640932966,25.36495386856423,0.86926955,0.77992755,0.82217854
40,तत्र देवास्सगन्धर्वास्सिद्धाश्च परमर्षयःदृष्ट्वा लङ्कां प्रदग्धां तां विस्मयं परमं गताः,तत्र सगन्धर्वाः देवाः सिद्धाश्च परमर्षयः दग्धाम् तां लङ्काम् पुरीम् दृष्ट्वा परमम् विस्मयम् गताः,There they were amazed at the sight of the gods and the gods.,They were astonished to see all the flames of heaven and earth lit by the gods and the gods.,0.0,0.0,39.489467446454555,0.95378655,0.91683984,0.9349483
41,नीलजीमूतसङ्काशो महाभुजशिरोधरःसिंहसत्त्वगतिः श्रीमान् दीप्त जिह्वाग्रलोचनः,नीलजीमूतसङ्काशः महाभुजशिरोधरः सिंहसत्त्वगतिः श्रीमान् दीप्तजिह्वाग्रलोचनः,Niljimut Sangkasho Mahabhuzhzhishidash: Sinhasatgatha: Shri Diman Dipta is the tongue of the people:,Niljimut Sankhas: Mahabhuzhishidash: Lionsatva: Shri Dhipti Jihaagarlochan:,0.0,0.0,48.13558948784829,0.88343966,0.8826294,0.88303435
42,युध्यस्वयदिशूरोऽसिरावणात्मजदुर्मते वायुपुत्रंसमासाद्य न जीवन् प्रतियास्यसि,दुर्मते रावणात्मज शूरः असियदि युध्यस्व वायुपुत्रम् समासाद्य जीवन् न प्रतियास्यसि,"The warrior's life is not in the hands of the spirits, but in the hands of the sons of the wind.",Durmate Ravanaatmaj Courageous: Asyadiy Yudhyaśva Vyaputram Samasajaya is a lifelong trusted leader.,0.0,0.0,9.67695667395312,0.8334851,0.7660223,0.798331
43,सागरह्रदसङ्काशात्सुमन्त्रोऽन्तःपुराच्छुभात् निष्क्रम्य जनसम्बाधं ददर्श द्वारमग्रतः,सुमन्त्रः सागरह्रदसङ्काशात् शुभात् अन्तःपुरात् निष्क्रम्य अग्रतः जनसम्बाधम् द्वारम् ददर्श,Sagarhdarasankhasatsu ministers were discharged and public relations were opened to the public.,"Sumatra: Sudhat from the seaheart of Shubhat to the innermost part of the city, unhindered in front of the people, opened the door.",0.0,0.0,20.051990589834464,0.8514933,0.8438375,0.8476481
44,पश्चिमेनतुरामस्यसुषेणःसहजाम्बवान् आदूरान्मध्यमेगुल्मेतस्थौबहुबलानुगः,सुषेणः सहजाम्बवान् बहुबलानुगः रामस्य पश्चिमेन अदूरात् मध्यमेगुल्मे तस्थौ,"In the western world, there is a great diversity of people, from the middle to the farthest.",Sushen: Sahjambwan multibalanuga: Rama's westward far away from the middle Megulme Tasthu,0.0,0.0,23.00556846909916,0.841176,0.77326006,0.8057895
45,तवदूतामहाराजक्षिप्रमर्हन्त्यवेक्षितुम् उपप्रदानंसान्त्वंवाभेदोवात्रप्रयुज्यताम्,महाराज: तव: दूताः क्षिप्रम् अवेक्षितुम् अर्हन्ति: उपप्रदानम् सान्त्वंवा: भेदोवा: अत्रप्रयुज्यताम्,"Your angelic Majesty is the witness of the counsel of the faithful, and the counsel of the subservient, and the counsel of the discreet.","Your Majesty: The angels are quick to ask you: ""What is the matter with me?"" and ""What is the matter with me?""",0.0,0.3753753753753754,23.16064465186977,0.8532537,0.84676796,0.8499984
46,महोत्पातानिमान्सर्वानुत्थितान्घोरदर्शनान् न चिन्तयाम्यहं वीर्याद्बलवान्दुर्बलानिव,उत्थितान् घोरदर्शनान् इमान् महोत्पातान् सर्वान् अहम् वीर्यात् बलवान् दुर्बलानिव न चिन्तयामि,"I don't care about the high-ranking officials, but I am brave and strong and weak.","The mighty and the mighty, the mighty and the mighty, and all the mighty and the mighty, I do not regard the weak and the mighty.",0.0,0.0,13.333620542686026,0.87624353,0.8567116,0.86636746
47,यस्यविक्रममाणस्यशक्रस्येवपराक्रमः एषगन्धर्वकन्यायामुत्पन्नःकृष्णवर्त्मनः तदादेवासुरेयुद्धेसाह्यार्थंत्रिदिवौकसाम्,विक्रममाणस्य: यस्य: पराक्रमः शक्रस्येव: एषः गन्धर्वकन्याम् कृष्णवर्त्मना: तदा: देवासुरेयुद्धे: त्रिदिवौकसाम् साह्वार्थम् उत्पन्नः,"This is the cycle of victory, the cycle of victory, the cycle of victory, the cycle of victory, the cycle of victory, the cycle of victory, the cycle of victory, the cycle of victory, the cycle of victory, the cycle of victory.",Vikramman: Yen: पराक्रम: Shakrasyekya: These are the Gandharvachanya Krishnavartimana: then: Divasureshwarte: Tridyaukasam Sahavartham is born:,0.0,5.063934775737824,7.727997945943519,0.7927579,0.72838885,0.7592115
48,तेरावणवधंदृष्टवादेवगन्धर्वदानवाः जग्मुस्स्वैस्वैर्विमानैस्तेकथयन्तश्शुभाःकथाः,ते देवगन्धर्वदानवाः रावणवधम् दृष्टवा ते शुभाः कथाः कथयन्तः स्वैःस्वैः विमानैः जग्मुः,Theravanavadhendṛthāvavadāve gandharvadanava जगमुस्स्वैस्वैस्वैर्विमानैस्तेकथयन्तश्शुभःकथाः,DevGandharvadanava: they saw Ravanavadham and told good stories in their own airplanes.,42.81269845850862,0.0,27.391978149009656,0.69226664,0.8545382,0.7648906
49,प्रास्पोटयंश्च पुच्छानि सन्निजग्मु: पदान्यपि भुजावनिक्षिप्य शैलांश्च द्रुमानन्ये बभञ्जिरे,पुच्छानि प्रास्पोटयन् पदानि सन्निजग्मु: अपि अन्ये भुजान् विक्षिप्य शैलांश्च द्रुमान् बभञ्जिरे,Prospotyy and Pushani Snijgmu: Padanyapi armless rocks and Drumananeye Bhavnjire,Birds of prey and birds of prey: also other birds of prey and exotic rocks.,0.22768670309653913,0.25484199796126406,17.36518121636184,0.7557615,0.83763325,0.79459405
