sample_id,sanskrit_sloka,sanskrit_prose,english_sloka,english_prose,bleu_score
17,क्षिप्रम् सुग्रीवविमानंवानरैस्सह त्वमप्यारोहसामात्योराक्षसेन्द्रविभीषण,सुग्रीव वानरैःसह क्षिप्रम् विमानम् आरोह राक्षसेन्द्रः विभीषण सामात्यः त्वमपि आरोह,"In a moment you will rise with a great storm, and the sea will be filled with terror.","You're like a monster, you're like a monkey, you're like a monster, you're like a monkey, you're like a monkey, you're like a monster, you're like a monster, you're like a monkey, you're like a monkey, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster, you're like a monster.",0.018244053580747748
18,न मे तथा पार्थिव धीयते मनो महत्सु कामेषु न चात्मनःप्रियेयथा निदेशे तव शिष्टसम्मतेव्यपैतु दुःखं तव मत्कृतेऽनघ,अनघ पार्थिव मे मनः शिष्टसम्मते तव निदेशे यथा धीयते तथा महत्सु कामेषु न आत्मनः प्रिये न मत्कृते तव दुःखम् व्यपैतु,"Do not be anxious about money or the world, nor about anything of value, nor about the love of one's own soul. Keep your minds focused on one another. Keep your minds focused on evil.","Just as your heart has been trained in this world to obey your commands and to do great deeds, do not let your heart be troubled by love.",1.5450766293655125
19,बभूवास्य मनश्चिन्ता तपोऽपहरणे कृते नैव क्रोधं गमिष्यामि न च वक्ष्ये कथञ्चन,तपोपहरणे कृते अस्य मनश्चिन्ता बभूव क्रोधम् नैव गमिष्यामि कथञ्चन न च वक्ष्ये,"I am not going to be angry, nor am I going to speak in vain, because the Lord's heart is troubled in the morning.","""I am going to sail with this man in distress until noon, and I will not say a word.",4.807547001959649
20,धूपंसुगन्धांश्चससृजुस्तुष्टवुश्चपरन्ततम् जलदाइवचानेदुर्यातुधानास्ततस्ततः,यातुधानाः धूपम् गन्धाम् च ससृजुः परन्तपम् तुष्टवुश्च ततस्ततः जलदाःइव आनेदुःच,"They were covered with incense, incense, and sapphires.","They were filled with sulfur, sulfur, and sulfur, but afterwards they were scorched with fire.",5.891524451695448
21,सम्यगुक्तं हि भवता दूतवध्या विगर्हिताअवश्यं तु वधादन्यः क्रियतामस्य निग्रहः,भवता सम्यक् उक्तं हि दूतवध्या विगर्हिता वधात् अन्यः निग्रहः अस्य अवश्यम् क्रियताम्,"For he said to them, ""You are worthy of praise even more than angels.",You said that it was necessary to do something different than kill the apostle and the apostle.,3.2244357206306944
22,तां दृष्ट्वा तादृशीं नारीं रामपत्नीं यशस्विनीम्तत्रैव शिंशुपावृक्षे पश्यन्नहमवस्थितः,अहम् तादृशीम् नारीम् यशस्विनीम् तां रामपत्नीम् दृष्ट्वा तत्र शिंशुपावृक्षे एव पश्यन् अवस्थितः,"When he looked up, he saw the woman with her widow and her successors, but he did not see her standing under a fig tree.",I looked at the woman and saw her lying there under a fig tree.,16.09791748450962
23,ततस्तदा बहुविधभावितात्मनः कृतात्मनो जनकसुतां सुवर्त्मनःअपश्यतोऽभवदतिदुःखितं मनः सुचक्षुषः प्रविचरतो महात्मनः,ततः तदा बहुविधभावितात्मनः कृतात्मनः सुवर्त्मनः सुचक्षुषः प्रविचरतः जनकसुताम् अपश्यत: महात्मनः मनः अतिदुःखितम् अभवत्,"At that moment many of the spirits of the dead came in and said, ""The spirits of the dead have been healed, and the bodies of the dead have been healed"".","Many of the spirits that had been haunted came in and looked at him. When they saw him lying there, they were deeply troubled.",7.293301163414324
24,नयश्च विनयश्चोभौ यस्मिन्सत्यं च सुस्थितम्विक्रमश्च यथा दृष्टस्स राजा देशकालवित्,यस्मिन् नयश्च विनयश्च उभौ सत्यं च सुस्थितम् विक्रमश्च यथा दृष्टः सः देशकालवित् राजा,"The kingdom of Judah is a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, a new kingdom, and a new kingdom.",He is the one who has reigned for so long. He is both righteous and righteous and true and deceitful.,0.769226298433097
25,एवंविधं कथयतां पौराणां शुश्रुवु स्तदादिग्भ्योपि श्रुतवृत्तान्ता: प्राप्ता जानपदा जनाः,श्रुतवृत्तान्ताः दिग्भ्यः अपि प्राप्ताः जानपदाः जनाः तदा एवं विधम् पौराणाम् कथयताम् शुश्रुवुः,The crowd heard Paul say a number of things.,Those who had been healed by the spirits heard Paul's story and the parable.,3.0266181377145767
26,किं मां वक्ष्यति सुग्रीवो हरयो वा समागताः किष्किन्धां समनुप्राप्तं तौ वा दशरथात्मजौ,किष्किन्धाम् समनुप्राप्तम् माम् सुग्रीवः किम् वक्ष्यति समागताः हरयः वा तौ दशरथात्मजौ वा,What will the pigs eat? What will they eat? What will the pigs eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat? What will they eat?,What do the pigs eat when they come to me? What do they eat when they come to me? What do they eat when they come to me? What do they eat when they come to me? What do they eat when they come to me? What do they eat when they come to me? What do they eat when they come to me? What do they eat when they come to me? What do they eat when they come to me? What do they eat when they come to me?,3.2661969792114705
27,खड्गधाराहता मेऽद्य दीप्यमाना इवाद्रयःपतिष्यन्ति द्विपा भूमौ मेघा इव सविद्युतः,अद्य हया: मे खङ्गधाराहताः दीप्यमानाः अद्रय इव सविद्युतः मेघा इव भूमौ पतिष्यन्ति,The lampstands in my hand will shine like a cloud on the earth.,"""In the day of judgment, those with bright lights will be like thunderbolts, like clouds of lightning.",2.435911095331598
28,तदवश्यं त्वया कार्यस्ससुहृत्सुहृदां वरअकृत्वा हि न ते सिद्धिमहं पश्यामि चिन्तयन्,सुहृदाम् वर तत् सः त्वया अवश्यम् सुहृत् कार्यः अकृत्वा ते सिद्धिम् अहम् चिन्तयन् न पश्यामि,"For they did not find me perfect in your work, because you gave them the strength to do so.","Surely he has done a good work for you, but I do not find it complete.",4.968018039415939
29,स्वपुरं चागमच्छ्रीमानिष्टयज्ञोमहीपति: गङ्गायाश्चागमे राजा निश्चयं नाध्यगच्छत,श्रीमान् महीपति: इष्टयज्ञ: स्वपुरम् आगमत् राजा गङ्गाया: आगमे निश्चयम् नाध्यगच्छत,"And when the king came to his palace, he saw the king, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants, and the king's servants.",Richman Mahipati: Ishtaiah: The King of Ganga has come to his palace: The coming of the King of Ganga has certainly not come.,1.3910973618250244
30,नाहमस्मिन् प्रभुः कार्ये वानरेश न लक्ष्मणःत्वमस्य हेतुः कार्यस्य प्रभुश्च प्लवगेश्वर,प्लवगेश्वर वानरेश अहम् अस्मिन् कार्ये प्रभुः न लक्ष्मणः न त्वम् अस्य कार्यस्य हेतुः प्रभुश्च,"For we are not the Lord's doing, nor the serpent's doing, but the Lord's doing, and God's doing.","It is not the Lord who commands us to do this, nor is it you, but it is the Lord who commands us to do this.",4.677236312699757
31,हा हन्ताऽस्मि नृशंसोऽहं यत्सभार्यः कृते ममईदृशीं राघवश्शय्यामधिशेते ह्यनाथवत्,हा हन्त अहम् नृशंसः अस्मि यत् मम कृते राघवः सभार्यः अनाथवत् ईदृशीम् शय्याम् अधिशेते,I am a man of sorrows and acquainted with grief.,"""I am afraid that the ravens will put such a bed on me as an orphan.",4.71728363692704
32,ददर्शान्तरंतस्यविरूपाक्षस्यवानरः ततोन्यपातयत्क्रोधाच्छङ्खदेशेमहात्तलम्,सःवानरः तस्यविरूपाक्षस्य अन्तरम् ददर्श ततः क्रोधात् अन्यत् महात्तलम् शङ्खदेशे पातयत्,"When they saw him, the man with the right hand fell down and fell into a deep pit.","When he saw a hole in his arm, he was furious and threw another chain into his throat.",3.1142484770067234
33,पीड्यमानांसधर्मात्मावैदेहीमनुचिन्तयन् क्षिप्रमाज्ञापयामासवानरान्द्विषतांवधे,धर्मात्मा स: पीड्यमानां वैदेहीम अचिन्तयन् क्षिप्रमाज्ञापयामास वानरान् द्विषतां वधे,The spirit of godly devotion comforted the afflicted and helped them to obey for a little while.,"God's Spirit chose the afflicted among them. He gave them a little instruction, and the serpent began to speak in their mouths.",4.89645799671481
34,अमोघंदर्शनंराम तवास्माकंनरर्षभ प्रीतियुक्ताःस्मतेनत्वंब्रूहियन्मनसेप्सितम्,नरर्षभ राम तव अस्माकम् दर्शनम् अमोघम् प्रीतियुक्ताः स्म तेन मनसा यत् ईप्सितम् त्वम् ब्रूहि,"Our hearts are filled with joy because of you, our beloved.","When he came to see us, he told us how much he loved us. He thought he was very fond of you.",2.9189453645337293
35,अपश्यंस्तु ततस्तत्र पितरं पितुरालयेजगाम भरतो द्रष्टुं मातरं मातुरालये,ततः भरतः तत्र पितुः आलये पितरम् अपश्यन् मातुः आलये मातरम् द्रष्टुम् जगाम,"When he saw Peter and his mother coming out of the synagogue,","When they got up, they saw Peter in his father's manger and his mother in her manger.",9.913440329668468
36,तं वाली क्रोधताम्राक्षस्सुग्रीवं रणपण्डितम्आपतन्तं महावेगमिदं वचनमब्रवीत्,वाली क्रोधताम्राक्षः रणपण्डितम् महावेगम् आपतन्तम् तं सुग्रीवम् इदं वचनम् अब्रवीत्,"And he spoke the word in a fury, and in a fury of anger, and in a fury of anger, and in a fury of anger.",Then a furious fury and a furious fury came upon him.,1.943043650185126
37,ततो हलहलाशब्दस्तुमुलस्समजायत तस्य निष्क्रममाणस्य जनौघस्य समन्ततः,ततः समन्ततः निष्क्रममाणस्य तस्य जनौघस्य तुमुलः हलहलाशब्दः समजायत,"When they heard this, they shouted loudly at the sword of the people who were about to kill him.",Immediately the crowd heard the sound of his voice.,2.7156804039319287
38,न रामरामानुजशासनं त्वयाकपीन्द्र युक्तं मनसाऽप्यपोहितुम्मनो हि ते ज्ञास्यति मानुषं बलंस राघवस्यास्य सुरेन्द्रवर्चसः,कपीन्द्र रामरामानुजशासनम् त्वया मनसापि अपोहितुम् न युक्तम् अस्य सराघवस्य सुरेन्द्रवर्चसः मानुषम् बलम् ते मनः ज्ञास्यति हि,"They will know that it is not Rama Rama's rule that has brought you to the brink of extinction. They will know that man's strength is the sword's sword, and the sword's sword's sword is the sword's sword.","They will know the strength of this palace, the strength of the human heart, and the power of this palace.",6.666337489197861
39,पारिखाःपूरयन्तिस्मप्रसन्नसलिलायुताः पांसुभिःपर्वताग्रैश्चतृणैःकाष्ठैश्चवानराः,वानराः पारिखाः पर्वताग्रैश्च तृणैः काष्ठैश्च पांसुभिः प्रसन्नसलिलायुताः पूरयन्ति,We were filled with joy and gladness. We were filled with rocks and mountains and hills and mountains.,And the wild beasts and the hills and the mountains and the grasslands and the hills and the valleys will be filled with glad tidings.,5.437557267976584
40,दीर्घिकाः पुष्करिण्यश्च नानावृक्षसमन्विताःरावणो दर्शयामास सीतां शोकपरायणाम्,रावणः दीर्घिकाः नानावृक्षसमन्विताः पुष्करिण्यश्च शोकपरायणाम् सीताम् दर्शयामास,He showed them flowers and flowers and trees of various sizes.,"And Ravana showed her a sign of mourning, and a sign of many trees, and a sign of flowers, and a sign of mourning.",1.4519982640579436
41,वमुक्तास्तुरामेणहरीन्द्राहरयस्तथा ऊचुःप्राञ्जलयस्सर्वेराक्षसश्चविभीषणः,रामेण एवम् उक्ताः हरीन्द्राः तथा हरयः राक्षसः विभीषणश्च सर्वे प्राञ्जलयः ऊचुः,"They were terrified by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet, and by the sound of the trumpet.","These are the words of Rameh. The green beasts, the green beasts, the terrible beasts, all the windows are high.",0.401566487765886
42,यदिन्द्रो वर्षते वर्षं न तच्चित्रं भवेत्क्वचित्आदित्यो वा सहस्रांशुः कुर्याद्वितिमिरं नभः चन्द्रमा रश्मिभिः कुर्यात्पृथिवीं सौम्य निर्मलाम्त्वद्विधो वाऽपि मित्राणां प्रतिकुर्यात्परन्तप,परन्तप सौम्य इन्द्रः वर्षम् यत् वर्षते सहस्रांशुः वा आदित्यः नभः वितिमिरम् कुर्यात् चन्द्रमाः पृथिवीं रश्मिभिः निर्मलाम् कुर्यात् त्वद्विधः मित्राणाम् प्रतिकुर्यात् तत् चित्रम् न भविष्यति,"Even if it were a dry season or a dry year, or a thousand years of darkness, or a full moon, or a cloud, or a gloomy earth, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold winter, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or a cold, or","But it will not be like a gentle rainy season, when a thousand years of rain will fall, and the sky will be darkened, and the moon will be darkened by the lights of the earth.",1.1628661254288495
43,नेयं जरयितुं शक्या सासुरैरमरैरपिविषसंसृष्टमत्यर्थं भुक्तमन्नमिवौजसा,अत्यर्थम् विषसंसृष्टम् भुक्तम् अन्नमिव इयम् सासुरैः अमरैरपि ओजसा जरयितुम् न शक्या,"Do not eat food that is not edible or poisonous, but that which is poisonous or poisonous.","They ate very poisonous food, and they could not keep burning their burdens forever.",3.0272532566104675
44,सहसा लक्ष्मणः श्रीमान् नदीं गोदावरीं तदास्नात्वा पद्मानि चादाय सफलः पुनरागतः,तदा श्रीमान् लक्ष्मणः सहसा गोदावरीं नदीम् गत्वा स्नात्वा पद्मानि च आदाय सफलः पुनः आगतः,"The rich man of Laxman went down to the river and washed his feet, and came back successfully to Padma.","So the rich man went down to the river, washed his clothes, and came back with good luck.",32.21135973222974
45,तस्यान्तरिक्षेचरतःसरथस्यमहायशः न गतिर्ज्ञायतेवीरसूर्यस्येवाभ्रसम्ल्पवे,महायशः वीर सरथस्य अन्तरिक्षे चरतः तस्य गतिः अभ्रसम्प्लवे सूर्यस्येव न ज्ञायते,"The sun shines brightly on the earth, and the sun shines brightly on the earth's surface.","A mighty warrior walks through the depths of the sea, and his speed is unknown even to the sun.",5.914171736486468
46,सर्वमुक्तंयथादिष्टंरावणेनदुरात्मना तंप्रापयन्तंवचनंतूर्णमाप्लुत्यवानराः प्रापद्यन्तदिवंक्षिप्रंलोप्तुंहन्तुंचमुष्टिभि:,दुरात्मना: रावणेन: यथा: आदिष्टम् सर्वम् उक्तम् तम् वचनम् प्रापयन्तम् वानराः अप्लुत्य: तदा:: क्षिप्रम् लोप्तुम् मुष्टिभिः हन्तुंच: प्रापद्यन्त:,"They will be filled with the Holy Spirit who gives them freedom, and they will be filled with joy when they come to the right hand of God.","And when they had heard all that had been said, the foxes sounded and said, ""In a little while we shall be consumed by the fleas"".",3.3963563855950367
47,एवमुक्त्वातुतंरामंसम्रब्धोवाहिनीपतिः वाक्यज्ञोवाक्यकुशलंततोमौनमुपागमत्,वाहिनीपतिः वाक्यज्ञः सम्रब्ध: वाक्यकुशलम् तंरामम् एवम् उक्त्वा: ततः मौनम् उपागमत्,"When the captain of the guard heard this, he was silent.","When the centurion heard this, he shrugged his shoulders.",23.90108882452813
48,राक्षसस्सोऽपि तान्वन्यान्मृगान्मृगवधे रतः प्रच्छादनार्थं भावस्य न भक्षयति संस्पृशन्,मृगवधे रतः सः राक्षसोऽपि वन्यान् तान् मृगान् संस्पृशन् भावस्य प्रच्छादनार्थम् न भक्षयति,"Even the devils were not willing to feed them, so that they could spend the night in the dungeons of wild beasts.","Even in the depths of the sea, he does not eat the animals he calls worms. He does not eat them in order to spread his love.",3.7528118453412476
49,त्वत्कृते मे पिता वृत्तो रामश्चारण्यमाश्रितःअयशो जीवलोके च त्वयाऽहं प्रतिपादितः,त्वत्कृते मे पिता वृत्तः रामश्च अरण्यम् आश्रितः त्वया अहम् जीवलोके अयशः च प्रतिपादितः,"For you have made known to me the name of the Father, the Son and the Holy One, and of the living One, the Son and the Holy One.","You made me a circle, a circle, a circle, a circle, a circle, a circle, a circle, a circle, a circle, a circle, a circle, a circle, a circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle, circle.",0.17045208238617193
50,सर्वमेतद्विचेतव्यं यन्मया परिकीर्तितम्यदन्यदपि नोक्तं च तत्रापि क्रियतां मतिः,मया यत् परिकीर्तिम् एतत् सर्वम् विचेतव्यम् अन्यदपि यत् नोक्तम् तत्रापि च मतिः क्रियताम्,"All things should be done with caution, as I have ordered you to do, not only in this way but also in another way.","You ought to consider all these matters carefully, and to do what I have already said and decided to do.",4.344109103419242
